Entity Name,Course Type,Prefix,Code,Name
College of Arts + Architecture,Arts + Architecture Honors Program,AAHP,2600,Introductory Honors Seminar
College of Arts + Architecture,Arts + Architecture Honors Program,AAHP,3701,Honors Seminar in Dance
College of Arts + Architecture,Arts + Architecture Honors Program,AAHP,3702,Honors Seminar in Architecture
College of Arts + Architecture,Arts + Architecture Honors Program,AAHP,3703,Honors Seminar in Music
College of Arts + Architecture,Arts + Architecture Honors Program,AAHP,3704,Honors Seminar in Theatre
College of Arts + Architecture,Arts + Architecture Honors Program,AAHP,3705,Honors Seminar in Art and Art History
College of Arts + Architecture,Arts + Architecture Honors Program,AAHP,3706,Interdisciplinary Honors Seminar
College of Arts + Architecture,Arts + Architecture Honors Program,AAHP,3900,Honors Thesis
Turner School of Accountancy,Accounting,ACCT,2121,Principles of Accounting I
Turner School of Accountancy,Accounting,ACCT,2122,Principles of Accounting II
Turner School of Accountancy,Accounting,ACCT,3311,Intermediate Financial Accounting I
Turner School of Accountancy,Accounting,ACCT,3312,Intermediate Financial Accounting II
Turner School of Accountancy,Accounting,ACCT,3330,Managerial Accounting and the Decision Process
Turner School of Accountancy,Accounting,ACCT,3340,Accounting Information Systems
Turner School of Accountancy,Accounting,ACCT,3380,Fraud Examination
Turner School of Accountancy,Accounting,ACCT,3400,Accounting Internship
Turner School of Accountancy,Accounting,ACCT,3500,Accounting Cooperative Education Experience
Turner School of Accountancy,Accounting,ACCT,3900,Current Developments in Accounting
Turner School of Accountancy,Accounting,ACCT,4220,Income Tax
ROTC: Air Force / Department of Aerospace Studies,Aerospace Studies,AERO,1101,Foundations of the Air Force I
ROTC: Air Force / Department of Aerospace Studies,Aerospace Studies,AERO,1102,Foundations of the Air Force II
ROTC: Air Force / Department of Aerospace Studies,Aerospace Studies,AERO,2101,Evolution of Aerospace Studies I
ROTC: Air Force / Department of Aerospace Studies,Aerospace Studies,AERO,2102,Evolution of Aerospace Studies II
ROTC: Air Force / Department of Aerospace Studies,Aerospace Studies,AERO,3101,Leadership Studies I
ROTC: Air Force / Department of Aerospace Studies,Aerospace Studies,AERO,3102,Leadership Studies II
ROTC: Air Force / Department of Aerospace Studies,Aerospace Studies,AERO,4101,National Security Studies and Preparation for Active Duty I
ROTC: Air Force / Department of Aerospace Studies,Aerospace Studies,AERO,4102,National Security Studies and Preparation for Active Duty II
Department of Africana Studies,Africana Studies,AFRS,1100,Introduction to Africana Studies
Department of Africana Studies,Africana Studies,AFRS,2111,Yoruba Language and Culture I
Department of Africana Studies,Africana Studies,AFRS,2112,Yoruba Language and Culture II
Department of Africana Studies,Africana Studies,AFRS,2050,Topics in Africana Studies
Department of Africana Studies,Africana Studies,AFRS,2103,Introduction to Hip Hop
Department of Africana Studies,Africana Studies,AFRS,2105,Black Images in the Media in the U.S.
Department of Africana Studies,Africana Studies,AFRS,2107,Global Hip Hop
Department of Africana Studies,Africana Studies,AFRS,2120,African American Women
Department of Africana Studies,Africana Studies,AFRS,2156,African Civilization
Department of Africana Studies,Africana Studies,AFRS,2160,The African American Experience through Civil War
Department of Africana Studies,Africana Studies,AFRS,2161,The African American Experience: Civil War to Civil Rights
Department of Africana Studies,Africana Studies,AFRS,2170,Introduction to Health and Environmental Issues in the Africana World
Department of Africana Studies,Africana Studies,AFRS,2172,Black Sexuality and Health
Department of Africana Studies,Africana Studies,AFRS,2206,"African Literature, Music, and Art"
Department of Africana Studies,Africana Studies,AFRS,2207,Pan-Africanism
Department of Africana Studies,Africana Studies,AFRS,2208,Education and African Americans
Department of Africana Studies,Africana Studies,AFRS,2215,Black Families in the United States
Department of Africana Studies,Africana Studies,AFRS,2221,Modern Africa
Department of Africana Studies,Africana Studies,AFRS,2301,Introduction to African American Literature
Department of Africana Studies,Africana Studies,AFRS,3050,Topics in Africana Studies
Department of Africana Studies,Africana Studies,AFRS,3101,Perspectives on Race and Ethnicity in the US
Department of Africana Studies,Africana Studies,AFRS,3150,The African American Church and Civil Rights
